9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,94,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
488.0,519.0,531.0,534.0,542.0,570.0,577.0,576.0,572.0,552.0,550.0,544.0,542.0,535.0,531.0,518.0,504.0,495.0,464.0,448.0,421.0,405.0,378.0,362.0,336.0,333.0,311.0,286.0,282.0,253.0,250.0,224.0,178.0,172.0,164.0,142.0,132.0,114.0,102.0,98.0,86.0,88.0,92.0,92.0,103.0,112.0,120.0,122.0,127.0,130.0,131.0,138.0,149.0,152.0,176.0,186.0,202.0,204.0,212.0,246.0,256.0,271.0,306.0,317.0,350.0,358.0,360.0,379.0,400.0,440.0,448.0,474.0,503.0,508.0,526.0,536.0,550.0,553.0,560.0,564.0,568.0,569.0,570.0,580.0,585.0,583.0,575.0,565.0,564.0,556.0,534.0,526.0,519.0,484.0,470.0,426.0,392.0,388.0,358.0,328.0,320.0,304.0,290.0,274.0,272.0,267.0,250.0,244.0,202.0,180.0,170.0,147.0,142.0,129.0,124.0,118.0,105.0,106.0,108.0,118.0,122.0,150.0,173.0,203.0,204.0,207.0,208.0,207.0,213.0,222.0,226.0,249.0,269.0,271.0,275.0,304.0,309.0,330.0,370.0,382.0,407.0,412.0,412.0,404.0,410.0,412.0,437.0,452.0,456.0,476.0,482.0,486.0,491.0,486.0,484.0,474.0,470.0,447.0,446.0,440.0,429.0,425.0,406.0,408.0,410.0,409.0,409.0,408.0,408.0
241.0,240.0,240.0,239.0,239.0,240.0,240.0,240.0,240.0,252.0,253.0,254.0,258.0,262.0,263.0,264.0,265.0,265.0,262.0,261.0,263.0,265.0,270.0,275.0,280.0,280.0,283.0,286.0,286.0,288.0,288.0,284.0,284.0,284.0,286.0,292.0,293.0,295.0,296.0,296.0,297.0,298.0,300.0,302.0,302.0,304.0,306.0,306.0,306.0,305.0,305.0,303.0,298.0,297.0,292.0,290.0,286.0,286.0,286.0,284.0,284.0,283.0,282.0,282.0,278.0,274.0,273.0,262.0,257.0,250.0,250.0,245.0,241.0,241.0,240.0,240.0,240.0,238.0,240.0,240.0,240.0,240.0,240.0,240.0,239.0,240.0,240.0,240.0,240.0,244.0,250.0,250.0,250.0,251.0,252.0,254.0,258.0,258.0,270.0,278.0,280.0,282.0,284.0,290.0,290.0,291.0,290.0,290.0,288.0,286.0,287.0,285.0,286.0,291.0,291.0,292.0,292.0,292.0,294.0,296.0,296.0,298.0,300.0,297.0,296.0,296.0,295.0,294.0,292.0,286.0,284.0,278.0,271.0,270.0,270.0,267.0,267.0,264.0,261.0,260.0,254.0,252.0,252.0,244.0,242.0,240.0,242.0,243.0,244.0,242.0,241.0,240.0,240.0,240.0,240.0,240.0,242.0,239.0,244.0,242.0,240.0,240.0,278.0,240.0,240.0,240.0,241.0,240.0,240.0
